title,author,price_sale,sale,price_regular,rating,reviewers,img_url,url
Thả Trôi Phiền Muộn (Tái Bản 2019),Suối Thông,62591,36,98000,4.8,61,https://salt.tikicdn.com/cache/280x280/ts/product/2d/93/87/ecacb34a149658ab7a72eed36c1ce7ca.jpg,https://tiki.vn/tha-troi-phien-muon-tai-ban-2019-p12111983.html?spid=12111984&src=category-page-8322&2hi=0
Tôn Giáo - Khái Lược Những Tư Tưởng Lớn,DK,242755,38,390000,4.9,48,https://salt.tikicdn.com/cache/280x280/ts/product/a4/ab/50/c2679da24b24b2f82fb1e6cd892db94a.jpg,https://tiki.vn/ton-giao-khai-luoc-nhung-tu-tuong-lon-p10671294.html?spid=10671295&src=category-page-8322&2hi=0
Bồi Dưỡng Học Sinh Giỏi Qua Các Kì Thi...,ThS. Nguyễn Thành Huân,67900,45,124000,4.8,61,https://salt.tikicdn.com/cache/280x280/ts/product/79/b8/97/f40d0d1e80e4040bafdd3f96711ee144.jpg,https://tiki.vn/boi-duong-hoc-sinh-gioi-qua-cac-ki-thi-chuyen-de-li-luan-van-hoc-p9688940.html?spid=9688941&src=category-page-8322&2hi=0
"Tác Phẩm Kinh Điển: Thiên Tài Bên Trái, Kẻ...",Cao Minh,129500,11,145000,4.5,16,https://salt.tikicdn.com/cache/280x280/ts/product/a8/a7/d1/2ca7ddc54582c66607913a0bcd0c8de2.jpg,https://tiki.vn/tac-pham-kinh-dien-thien-tai-ben-trai-ke-dien-ben-phai-sach-van-hoc-hay-tang-kem-bookmark-thiet-ke-bookmark-happy-life-p41556498.html?spid=41556499&src=category-page-8322&2hi=0
"Súng, Vi Trùng Và Thép (Tái Bản 2020)",Jared Diamond,178442,28,249000,4.8,11,https://salt.tikicdn.com/cache/280x280/ts/product/30/51/a2/527b00210d51f9d27e010db9d608a39a.jpg,https://tiki.vn/sung-vi-trung-va-thep-tai-ban-2020-p49960438.html?spid=49960439&src=category-page-8322&2hi=0
Triệu Phú Môi Giới Bất Động Sản,Gary Keller,252000,28,350000,3.9,45,https://salt.tikicdn.com/cache/280x280/ts/product/84/4b/6b/f5979e49d5c997ee79fd0fd848b119c5.jpg,https://tiki.vn/trieu-phu-moi-gioi-bat-dong-san-p25914366.html?spid=56266006&src=category-page-8322&2hi=0
Nam Đình Cốc Vi - Tập 1 - Truyện Tranh Dành...,Mặc Phi,84039,15,99000,5.0,13,https://salt.tikicdn.com/cache/280x280/ts/product/8d/a1/5d/c6d021f0706d0f68083c2241cd368c11.jpg,https://tiki.vn/nam-dinh-coc-vi-tap-1-truyen-tranh-danh-cho-lua-tuoi-15-tang-kem-postcard-p56691465.html?spid=56691466&src=category-page-8322&2hi=0
Quo Vadis  (Bìa Cứng) - Tác Phẩm Đoạt Giải...,Henryk Sienkiewicz,252000,28,350000,5.0,15,https://salt.tikicdn.com/cache/280x280/ts/product/21/98/a4/321e7628dbe889e3c042d333a7e7c082.jpg,https://tiki.vn/quo-vadis-bia-cung-tac-pham-doat-giai-nobel-van-hoc-1905-dong-a-p52207306.html?spid=52207307&src=category-page-8322&2hi=0
Combo Giáo Trình Hán Ngữ Boya Sơ Cấp 1 +...,Nhiều Tác Giả,186480,28,259000,4.5,49,https://salt.tikicdn.com/cache/280x280/ts/product/d4/ea/5e/aa5e4d2bfc977d4a45f1d57ae6753631.jpg,https://tiki.vn/combo-giao-trinh-han-ngu-boya-so-cap-1-sach-bai-tap-dap-an-tai-ban-kem-app-p10411542.html?spid=55089247&src=category-page-8322&2hi=0
Dám Hạnh Phúc,Koga Fumitake,82500,25,110000,4.5,53,https://salt.tikicdn.com/cache/280x280/ts/product/9b/17/a8/8f0bbffd7a59921d02b02a19ea71a2b5.jpg,https://tiki.vn/dam-hanh-phuc-p9948009.html?spid=9948010&src=category-page-8322&2hi=0
